DATED,ACCC_NO,CLASS_NO,BOOK_NO,AUTHOR_1,AUTHOR_2,TITLE,PUBLISHER_NAME,PLACE,COLLN_TYPE,TYPE_OF_MATERIAL,YEAR,EDITION,PG_COUNT,ILLUST,BK_SIZE,ISBN,LANGUAGE,SCRIPT_USED,TRANSLATED,SUBJECT_HEAD,PHY_MED,PRICE,TYPE_OF_BINDING,DOC_NO,SERIES_NAME,ISSN_NO,VOL_NO,PEGINATION,TITLE_VOLUME,ENTRY_ELEMENT,OTHER_NAME,ADDRESS,COUNTRY,BIBLIO_GRAPHY,MEETING_NAME,COUNTTRY_MEETING,PLACE_MEETING,DATE_MEETING,NUMBER_MEETING,KEY,ISSUE,CUR,FCUR,REMARKS,WRITTENOFF,NOOFCOPIES,EDITOR,BK_INFO,ISSUED,COND_BOOK,AVAILABILITY,NEW_CLASS_NO,ORDER_NO,WITH_MEDIA,REFERENCE,BK_BINDING,EDITOR_TYPE,DISC_PR,ACTUAL_PR,SNO,ACCREGDATE,ALMIRAH_NO,SHELF_NO,ISS,ACCCC_NO,HINDI
2019-06-01,407,0,0,OM NISHCHAL(SAMPADAK),DWARIKA PRASAD MASHEWARI RACHNAWALI-OM NISHCHAL(SAMPADAK),DWARIKA PRASAD MASHEWARI RACHNAWALI,JWALA PRASAD VIDHYA SAGAR ALLAHABAD,,,,1993,,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,452,0,0,"GAUTAM,VEDPRAKASH SAMPADAK","KAVYA KALP-GAUTAM,VEDPRAKASH SAMPADAK",KAVYA KALP,INTER UNIVERSITY PRESS DELHI,,,,1998,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,495,0,0,RAMKRISHNA MISSION INSTITUTE,SWAMI VIVEKNAND AUR UNKA SANDESH-RAMKRISHNA MISSION INSTITUTE,SWAMI VIVEKNAND AUR UNKA SANDESH,RAMKRISHNA MISSION INSTITUTE KOLKATA,,,,2008,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,513,0,0,"MUKHERJEE,VISHWANATH","YAH BANARUS HAI-MUKHERJEE,VISHWANATH",YAH BANARUS HAI,VISHWAVIDHYALA PRAKASHAN VARANASI,,,,1983,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,538,0,0,"SUKUL,KUBERNATH","VARANSAI VAIBHAV-SUKUL,KUBERNATH",VARANSAI VAIBHAV,"BIHAR RASHTRABHASHA PARISHAD,PATNA",,,,2000,,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,577,0,0,GEETA PRESS,GURU AUR MAATA PITA KE BHAKT BALAK-GEETA PRESS,GURU AUR MAATA PITA KE BHAKT BALAK,"GEETA PRESS,GORAKHPUR",,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,605,0,0,FADISHWERNATH RENU,PRATINIDHI KAHANIYAAN-FADISHWERNATH RENU,PRATINIDHI KAHANIYAAN,KITABGHAR PRAKASHAN DELHI,,,,2016,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,638,0,0,"SETH,VIKRAM","AN EQUAL MUSIC-SETH,VIKRAM",AN EQUAL MUSIC,VIKING PENGUING N.D,,,,1999,,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,665,0,0,ELLIOTT C.N.,CIVIL SOCIETY AND DEMOCRACY-ELLIOTT C.N.,CIVIL SOCIETY AND DEMOCRACY,OXFORD UNIVERSITY PRESS,,,,2003,,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,698,0,0,"SETH,VIKRAM","A SUITABLE BOY-SETH,VIKRAM",A SUITABLE BOY,VIKING PENGUING N.D,,,,1994,,1349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,727,0,0,"HAYES,CARLTON J.H.","CONTEMPORARY EUROPE SINCE 1870-HAYES,CARLTON J.H.",CONTEMPORARY EUROPE SINCE 1870,SURJEET PUBLICATION DELHI,,,,1977,,785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,777,0,0,TAVLEEN SINGH,LOLLIPOP STECAL : WHY INDIA WELL SERVIVE ITS POLITICIANS-TAVLEEN SINGH,LOLLIPOP STECAL : WHY INDIA WELL SERVIVE ITS POLITICIANS,VIKING PENGUING N.D,,,,1999,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,815,0,0,HITCHOCK ALFRED,THREE MYSTRY OF THE WHISPERING MUMMY-HITCHOCK ALFRED,THREE MYSTRY OF THE WHISPERING MUMMY,WILLIAM COLLINS ARMADA,,,,1974,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,846,0,0,"DIXON,FRANKLIN W","THE HARDY BOYS: 171 TEST CASE-DIXON,FRANKLIN W",THE HARDY BOYS: 171 TEST CASE,ALADIN PAPERBACK NEW YORK,,,,2002,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,883,0,0,TZU SUN,THE ART OF WAR -SUN TZU-TZU SUN,THE ART OF WAR -SUN TZU,RUPA AND COMPANY,,,,1999,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,920,0,0,HARPER COLLINS,AGATHA CHRISTIE : AN AUTOBIOGRAPHY-HARPER COLLINS,AGATHA CHRISTIE : AN AUTOBIOGRAPHY,HARPER COLLINS INDIA,,,,1993,,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,966,0,0,NATIONAL BOOK TRUST,QUAKES AND FLAMES - RUSKIN BOND-NATIONAL BOOK TRUST,QUAKES AND FLAMES - RUSKIN BOND,NATIONAL BOOK TRUST N.D,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,992,0,0,GIBBAN EDWARD,THE HISTORY OF THE DECLINE AND FALL OF THE ROMAN EMPIRE-GIBBAN EDWARD,THE HISTORY OF THE DECLINE AND FALL OF THE ROMAN EMPIRE,WORDWORTH,,,,1987,,1056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,1038,0,0,SWIFT JONATHAN,GULLIVER'S TRAVELS-SWIFT JONATHAN,GULLIVER'S TRAVELS,BLOOMSBURY BOOKS,,,,1993,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,1105,0,0,GOVT. OF U.P.,H. B. FOR CRIMINAL & REVENUE COURTS-GOVT. OF U.P.,H. B. FOR CRIMINAL & REVENUE COURTS,GOVT. OF U.P.,,,,1954,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,1131,0,0,"SMITH,WILBER","MONSOON-SMITH,WILBER",MONSOON,PAN BOOKS,,,,1999,,949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,1164,0,0,KHUSHWANT SINGH,NOT A NICE MEN TO KNOW-KHUSHWANT SINGH,NOT A NICE MEN TO KNOW,PENGUIN BOOKS N.D.,,,,1993,,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,1198,0,0,CUSSLER CLIVE,THE CHASE-CUSSLER CLIVE,THE CHASE,PENGUIN BOOKS N.D.,,,,2007,,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,1243,0,0,"WOOLF , VIRGINIA","MRS DALLOWAY-WOOLF , VIRGINIA",MRS DALLOWAY,PENGUIN BOOKS N.D.,,,,1967,,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,1278,0,0,IRVING WALLACE,THE FAN CLUB-IRVING WALLACE,THE FAN CLUB,CORGI BOOKS,,,,1984,,638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,1312,0,0,HARDY THOMAS,FOR FROM THE MEDDING CROWD-HARDY THOMAS,FOR FROM THE MEDDING CROWD,MCMILLAN LANDON,,,,1976,,447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,1355,0,0,SMITH WILBUR,THOSE IN PERIL-SMITH WILBUR,THOSE IN PERIL,PAN BOOKS,,,,2011,,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,1395,0,0,TAGORE RABINDRANATH,HUNGRY STONES AND OTHER STORIES-TAGORE RABINDRANATH,HUNGRY STONES AND OTHER STORIES,MACMILLAN INDIA DELHI,,,,1992,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,1428,0,0,HAY LOUISE L.,YOU CAN HEAL YOUR LIFE-HAY LOUISE L.,YOU CAN HEAL YOUR LIFE,HAY HOUSE INDIA,,,,2011,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,1454,0,0,COLLINS JACKIE,HOLLYWOOD KIDS-COLLINS JACKIE,HOLLYWOOD KIDS,PAN BOOKS,,,,1994,,583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,1490,0,0,ABDUL KALAM A.P.J.,INDIA 2020 : A VISION FOR THE NEW MILLENNIUM-ABDUL KALAM A.P.J.,INDIA 2020 : A VISION FOR THE NEW MILLENNIUM,PENGUIN BOOKS N.D.,,,,1998,,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,1534,0,0,DAS SOMA,SUMTHING OF A MOCK TALE AT JNU WHERE KURTA FELL IN LOVE WITH JEANS-DAS SOMA,SUMTHING OF A MOCK TALE AT JNU WHERE KURTA FELL IN LOVE WITH JEANS,SRITHI PUB NEW DELHI,,,,2007,,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,1555,0,0,MENAN RAMESH,THE MAHABHARAT : A MODERN VENDERING VOL.I-MENAN RAMESH,THE MAHABHARAT : A MODERN VENDERING VOL.I,RUPA & CO.,,,,2004,,821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
